term,step,estimate,lambda,dev.ratio
(Intercept),51,2.2271384974212847,0.001945633111171576,0.06819590618123172
introducing,51,1.3215283806290885,0.001945633111171576,0.06819590618123172
update,51,0.969607998449008,0.001945633111171576,0.06819590618123172
guide,51,0.8877664472494183,0.001945633111171576,0.06819590618123172
tensorflow,51,0.8744316393251873,0.001945633111171576,0.06819590618123172
blockchain,51,0.8655154638440515,0.001945633111171576,0.06819590618123172
building,51,0.8579135056161679,0.001945633111171576,0.06819590618123172
detection,51,0.8130352448119251,0.001945633111171576,0.06819590618123172
python,51,0.668639520523517,0.001945633111171576,0.06819590618123172
networks,51,0.588694381450703,0.001945633111171576,0.06819590618123172
deep,51,0.5855390849110117,0.001945633111171576,0.06819590618123172
keras,51,0.577467549245329,0.001945633111171576,0.06819590618123172
code,51,0.5745897139041458,0.001945633111171576,0.06819590618123172
scientist,51,0.5668827313015088,0.001945633111171576,0.06819590618123172
bot,51,0.5556234401373755,0.001945633111171576,0.06819590618123172
design,51,0.552401363769585,0.001945633111171576,0.06819590618123172
chatbot,51,0.533422137737518,0.001945633111171576,0.06819590618123172
build,51,0.5225300681735909,0.001945633111171576,0.06819590618123172
algorithms,51,0.5213773118480681,0.001945633111171576,0.06819590618123172
models,51,0.49340022628317287,0.001945633111171576,0.06819590618123172
understanding,51,0.4887057913962767,0.001945633111171576,0.06819590618123172
product,51,0.48041807642601114,0.001945633111171576,0.06819590618123172
driving,51,0.46828915934280274,0.001945633111171576,0.06819590618123172
started,51,0.4479118744077566,0.001945633111171576,0.06819590618123172
text,51,0.4285039760889628,0.001945633111171576,0.06819590618123172
visualization,51,0.42341905341653224,0.001945633111171576,0.06819590618123172
reinforcement,51,0.41140782381131497,0.001945633111171576,0.06819590618123172
image,51,0.40483175651145004,0.001945633111171576,0.06819590618123172
model,51,0.38916361069446076,0.001945633111171576,0.06819590618123172
network,51,0.37353214601466483,0.001945633111171576,0.06819590618123172
linear,51,0.3716315270968141,0.001945633111171576,0.06819590618123172
team,51,0.3686305049792888,0.001945633111171576,0.06819590618123172
learning,51,0.34696893980894794,0.001945633111171576,0.06819590618123172
introduction,51,0.3350221000575198,0.001945633111171576,0.06819590618123172
game,51,0.33173463743194215,0.001945633111171576,0.06819590618123172
classification,51,0.31089561284771045,0.001945633111171576,0.06819590618123172
science,51,0.2985136028853649,0.001945633111171576,0.06819590618123172
vision,51,0.27051189983926327,0.001945633111171576,0.06819590618123172
privacy,51,0.27010563297702656,0.001945633111171576,0.06819590618123172
recognition,51,0.2682853787706722,0.001945633111171576,0.06819590618123172
creating,51,0.26576893453521927,0.001945633111171576,0.06819590618123172
natural,51,0.26222248724672254,0.001945633111171576,0.06819590618123172
top,51,0.26183321572578744,0.001945633111171576,0.06819590618123172
nlp,51,0.2604021683472486,0.001945633111171576,0.06819590618123172
chatbots,51,0.2567049898800044,0.001945633111171576,0.06819590618123172
apache,51,0.2443145932659716,0.001945633111171576,0.06819590618123172
learn,51,0.2387438170002023,0.001945633111171576,0.06819590618123172
analysis,51,0.22431068361619075,0.001945633111171576,0.06819590618123172
startup,51,0.22389194559650338,0.001945633111171576,0.06819590618123172
neural,51,0.21520088291831616,0.001945633111171576,0.06819590618123172
meet,51,0.20608763381187734,0.001945633111171576,0.06819590618123172
algorithm,51,0.20264234078741175,0.001945633111171576,0.06819590618123172
system,51,0.19253843221701894,0.001945633111171576,0.06819590618123172
free,51,0.1868621866321956,0.001945633111171576,0.06819590618123172
series,51,0.17492458529204105,0.001945633111171576,0.06819590618123172
computer,51,0.1666712802585751,0.001945633111171576,0.06819590618123172
people,51,0.14915435306073868,0.001945633111171576,0.06819590618123172
interview,51,0.1443634637666896,0.001945633111171576,0.06819590618123172
search,51,0.14048672915359303,0.001945633111171576,0.06819590618123172
ml,51,0.13890024623038394,0.001945633111171576,0.06819590618123172
user,51,0.13521641776917748,0.001945633111171576,0.06819590618123172
time,51,0.1322027306224252,0.001945633111171576,0.06819590618123172
humans,51,0.12915850072913562,0.001945633111171576,0.06819590618123172
autonomous,51,0.12684789810810934,0.001945633111171576,0.06819590618123172
age,51,0.1188166425671964,0.001945633111171576,0.06819590618123172
web,51,0.1169211110917307,0.001945633111171576,0.06819590618123172
processing,51,0.1149963451261655,0.001945633111171576,0.06819590618123172
companies,51,0.11339898956321716,0.001945633111171576,0.06819590618123172
simple,51,0.11299127732600801,0.001945633111171576,0.06819590618123172
regression,51,0.11145791636683186,0.001945633111171576,0.06819590618123172
google,51,0.10892816773064225,0.001945633111171576,0.06819590618123172
machines,51,0.10588338911094655,0.001945633111171576,0.06819590618123172
report,51,0.10559701854018322,0.001945633111171576,0.06819590618123172
video,51,0.10530226290169255,0.001945633111171576,0.06819590618123172
create,51,0.10355600650257515,0.001945633111171576,0.06819590618123172
bots,51,0.10353303169264787,0.001945633111171576,0.06819590618123172
world,51,0.09407953652697812,0.001945633111171576,0.06819590618123172
whats,51,0.09065486121410503,0.001945633111171576,0.06819590618123172
journey,51,0.08617332600830703,0.001945633111171576,0.06819590618123172
platform,51,0.07249348973426448,0.001945633111171576,0.06819590618123172
job,51,0.06358926475617438,0.001945633111171576,0.06819590618123172
dont,51,0.06298512111795528,0.001945633111171576,0.06819590618123172
systems,51,0.05198264379320425,0.001945633111171576,0.06819590618123172
challenge,51,0.0465631715452539,0.001945633111171576,0.06819590618123172
spark,51,0.041408360557251125,0.001945633111171576,0.06819590618123172
project,51,0.008246812862861894,0.001945633111171576,0.06819590618123172
powered,51,0.007893662068630182,0.001945633111171576,0.06819590618123172
review,51,-6.239311423223256e-5,0.001945633111171576,0.06819590618123172
intelligent,51,-0.0037623067251954688,0.001945633111171576,0.06819590618123172
smart,51,-0.004899604078736246,0.001945633111171576,0.06819590618123172
future,51,-0.02687591821167828,0.001945633111171576,0.06819590618123172
amazon,51,-0.032728926834620364,0.001945633111171576,0.06819590618123172
